l,d,lr,mse
0.00028341337578622944,0.13837288406491316,0.00011069407500962486,0.00896143913269043
0.0076831989339347035,0.11992472279168943,0.0009954215725646236,0.008960378356277943
0.012366019789883343,0.1491371936113137,0.0016887279380792496,0.008955184370279312
0.019071951619408792,0.44627722564749567,0.0038256076843437266,0.008972903713583946
0.018309424613640473,0.4329215676790678,0.08146297543099808,0.009101913310587406
0.01756168790725746,0.44259840057834854,0.00013547636708344027,0.008963227272033691
0.00151112157216618,0.027037951146047092,0.00011534354888219978,0.008959976024925709
0.0011819288362755413,0.0023640288080055308,0.0004733515309184306,0.008961017243564129
0.055493437018328755,0.1793877706818213,0.007891346277538151,0.008966440334916115
0.0274007259540438,0.3972148803811018,0.037639660757525645,0.008982417173683643
0.00013928555094337803,0.11329680488748634,0.03674312137872017,0.008943057619035244
0.036313257794129875,0.17737229070188054,0.01119021290597874,0.008951564319431782
0.001817354249526087,0.051003057629965896,0.02696567454533252,0.008943798951804638
0.00047814684720155385,0.4422680351185101,0.006516529415410318,0.008977933786809444
0.011487812718084668,0.0558173526878969,0.0007406544423739295,0.008952897973358631
0.005625689815908289,0.34211184549145274,0.002533406195068139,0.008954460732638836
0.01450019934663858,0.44183274051072613,0.0005253940472520653,0.008961996994912624
0.015777200469960843,0.0740020603802282,0.019546866233946095,0.008963643573224545
0.004318354138910485,0.3106187808197352,0.00013084470615683453,0.00896229688078165
0.0002653105879682599,0.2913289329795759,0.013616950813608133,0.00892857275903225
