Thread,Gender,Location,Political_leaning
14,Male,Georgia,Slightly Liberal
14,,,
14,Male,San Anonio,Libertarian - Left
14,Male,Texas,Independen
14,,,
14,,Oregon,
15,Male,,Very Conservative
15,Female,,Conservative
15,Female,,Progressive
15,,,
15,Male,,Very Conservative
15,Female,,Progressive
15,Male,,Very Conservative
15,Female,,Progressive
15,Male,San Anonio,Libertarian - Left
15,Male,"Smackover, AR.",Very Conservative
15,,Oregon,
15,,Oregon,
15,,,Independen
15,Female,,Progressive
15,Female,,Progressive
15,Male,"Smackover, AR.",Very Conservative
15,Female,,Progressive
15,,Oregon,
15,Female,Outside Seatle,Independen
15,Male,"Houston, in the great state of Texas",Conservative
15,Female,Outside Seatle,Independen
15,Female,Outside Seatle,Independen
15,,,Independen
15,Male,"Houston, in the great state of Texas",Conservative
15,,Oregon,
16,,'Murica,Independen
16,Female,,
16,,Oregon,
16,,Oregon,
16,Female,Outside Seatle,Independen
16,Male,,Independen
16,,Canada,Liberal
16,Female,Outside Seatle,Independen
16,Female,Outside Seatle,Independen
16,,Canada,Liberal
16,Female,Outside Seatle,Independen
16,Female,S. California,Slightly Conservative
16,,Canada,Liberal
16,Female,"Near Kingston, Onario, Canada",Conservative
16,,Canada,Liberal
16,Male,In the cener of it all.,
16,,,
16,Male,,Moderat
16,Male,,Independen
16,,Canada,Liberal
16,Male,,Independen
16,Male,In the cener of it all.,
16,,Canada,Liberal
16,Male,In the cener of it all.,
16,,Canada,Liberal
17,Male,Your Back Yard,Independen
17,,Oregon,
18,Male,,Very Conservative
18,,,
18,Male,,Very Conservative
18,,,
18,Male,NM,Independen
18,Male,Menor Ohio,Libertarian
18,Female,,Progressive
18,Female,,Progressive
18,Male,,Very Conservative
18,Male,,Very Conservative
18,Male,,Very Conservative
18,Male,,
18,Male,,Very Conservative
18,Female,,Progressive
18,Female,,Progressive
18,Male,,
18,Male,,Very Conservative
18,Male,,Very Conservative
18,Male,,Very Conservative
18,Female,,Progressive
18,Male,,Very Conservative
18,Female,,Progressive
18,Male,,Very Conservative
18,Female,"Near Kingston, Onario, Canada",Conservative
18,Female,,Progressive
19,Male,,Moderat
19,,Somewhere in Babylon...,
19,Female,Outside Seatle,Independen
19,Female,"Near Kingston, Onario, Canada",Conservative
19,,Oregon,
19,Female,,
19,Male,Flori-duh,Progressive
19,Female,"Near Kingston, Onario, Canada",Conservative
19,,Oregon,
19,Male,"Sarasota, Florida and Sydney, Australia",Progressive
19,,Oregon,
19,Female,Colorado,Liberal
19,Male,Highlands Scotlan,Independen
19,,Oregon,
19,Female,Colorado,Liberal
19,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
19,Male,,Very Conservative
19,,Oregon,
19,Female,"Near Kingston, Onario, Canada",Conservative
19,,Oregon,
19,Male,PNW USA,Other
19,,Oregon,
19,Male,PNW USA,Other
19,Female,Outside Seatle,Independen
19,Female,Outside Seatle,Independen
20,Female,,Conservative
20,Female,,Liberal
20,Female,,Progressive
20,Male,"Charleston, SC",Libertarian - Left
20,Female,Outside Seatle,Independen
20,Male,,Independen
20,Male,"Bridgeport, CT",Libertarian - Right
20,Male,,Independen
20,Female,,Conservative
20,Male,,Independen
20,Female,"Near Kingston, Onario, Canada",Conservative
20,Female,,Progressive
20,Female,Outside Seatle,Independen
20,Female,"Near Kingston, Onario, Canada",Conservative
20,Female,,Conservative
20,Female,,
20,Male,,Other
20,Male,,Other
20,Male,,Other
20,Male,,Other
20,Female,,
20,Female,"Near Kingston, Onario, Canada",Conservative
20,Male,,Other
20,Female,,
20,Male,,Other
21,Female,,Liberal
21,Female,"Near Kingston, Onario, Canada",Conservative
21,Female,,
21,Female,,
21,,East Coast - USA,Cenrist
21,Female,Outside Seatle,Independen
21,,,
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Female,Outside Seatle,Independen
21,Female,Outside Seatle,Independen
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Female,Outside Seatle,Independen
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Female,Outside Seatle,Independen
21,Male,Texas,Independen
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Female,Outside Seatle,Independen
21,Male,North East USA,Slightly Liberal
21,Male,North East USA,Slightly Liberal
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
21,Female,Outside Seatle,Independen
21,,East Coast - USA,Cenrist
21,Male,North East USA,Slightly Liberal
22,,Oregon,
22,Male,CT,
22,,Oregon,
22,,Oregon,
22,Male,Atlan,Independen
22,,Oregon,
22,Female,Not over the edge yet,Slightly Liberal
22,Male,Atlan,Independen
22,Male,CT,
22,,,Cenrist
22,Female,Outside Seatle,Independen
22,Male,CT,
22,,Oregon,
22,,Oregon,
22,Male,CT,
22,Male,CT,
22,Female,Outside Seatle,Independen
22,Male,CT,
22,Female,Outside Seatle,Independen
22,Male,,
22,Female,Outside Seatle,Independen
22,,Oregon,
22,Male,,Very Conservative
22,Female,Outside Seatle,Independen
22,,Oregon,
23,Male,,Progressive
23,Male,,Very Conservative
23,,,Independen
24,,,Cenrist
24,,,
24,,,
24,Female,"Near Kingston, Onario, Canada",Conservative
24,Female,"Near Kingston, Onario, Canada",Conservative
24,Female,"Near Kingston, Onario, Canada",Conservative
24,,,
24,,,Cenrist
24,Male,Los Angeles,
24,,,
24,Male,Akron,Progressive
24,Male,,Independen
24,Female,,Progressive
24,Male,San Anonio,Libertarian - Left
24,Female,"Near Kingston, Onario, Canada",Conservative
24,,,
24,,,
24,Male,San Anonio,Libertarian - Left
24,Female,,
24,Male,,Independen
24,Female,,Progressive
24,Female,,
24,Female,,
24,,,
24,Female,,
25,Male,San Diego,Liberal
25,Female,,
